GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
memory-garden-server,com.memorygarden.controller,ReviewController,14,57,0,0,3,13,1,5,1,5
memory-garden-server,com.memorygarden.controller,BadgeController,0,29,0,0,0,7,0,3,0,3
memory-garden-server,com.memorygarden.controller,StatsController,0,57,0,0,0,13,0,5,0,5
memory-garden-server,com.memorygarden.controller,CategoryController,0,61,0,0,0,13,0,5,0,5
memory-garden-server,com.memorygarden.controller,GardenController,0,60,0,0,0,13,0,5,0,5
memory-garden-server,com.memorygarden.controller,StudyPackController,0,41,0,0,0,10,0,5,0,5
memory-garden-server,com.memorygarden.controller,UserController,0,58,0,0,0,13,0,5,0,5
memory-garden-server,com.memorygarden.controller,KnowledgeCardController,0,76,0,0,0,16,0,6,0,6
memory-garden-server,com.memorygarden.model.enums,BadgeRarity,0,68,0,4,0,11,0,7,0,5
memory-garden-server,com.memorygarden.model.enums,BadgeConditionType,6,76,0,0,2,12,2,3,2,3
memory-garden-server,com.memorygarden.model.enums,GrowthStage,0,84,0,4,0,13,0,7,0,5
memory-garden-server,com.memorygarden.model.enums,SelfEvaluation,3,65,0,4,1,10,1,6,1,4
memory-garden-server,com.memorygarden.algorithm,WitherCalculator,0,13,0,4,0,3,0,3,0,1
memory-garden-server,com.memorygarden.algorithm,GrowthStageCalculator,4,35,2,8,2,9,2,5,0,1
memory-garden-server,com.memorygarden.algorithm,BadgeEvaluator,2,61,1,23,1,10,1,15,0,1
memory-garden-server,com.memorygarden.algorithm,EbbinghausCalculator,0,78,1,13,0,19,1,9,0,3
memory-garden-server,com.memorygarden.config,WebMvcConfig,0,43,0,0,0,5,0,2,0,2
memory-garden-server,com.memorygarden.config,CorsConfig,0,49,0,0,0,8,0,2,0,2
memory-garden-server,com.memorygarden.config,SecurityConfig,0,7,0,0,0,2,0,2,0,2
memory-garden-server,com.memorygarden.config,SwaggerConfig,0,29,0,0,0,12,0,3,0,3
memory-garden-server,com.memorygarden.model.entity,Category,278,106,70,0,0,9,38,18,3,18
memory-garden-server,com.memorygarden.model.entity,StudyPackImport,255,0,46,0,6,0,38,0,15,0
memory-garden-server,com.memorygarden.model.entity,Badge,367,60,78,0,2,8,45,17,6,17
memory-garden-server,com.memorygarden.model.entity,Plant,512,132,112,4,2,23,63,28,6,27
memory-garden-server,com.memorygarden.model.entity,ReviewRecord,544,98,118,0,1,14,64,28,5,28
memory-garden-server,com.memorygarden.model.entity,StudyPack,278,106,70,0,0,9,38,18,3,18
memory-garden-server,com.memorygarden.model.entity,KnowledgeCard,433,80,94,0,0,12,51,23,4,23
memory-garden-server,com.memorygarden.model.entity,User,475,97,102,0,2,11,57,23,6,23
memory-garden-server,com.memorygarden.model.entity,UserBadge,217,38,46,0,0,6,27,11,4,11
memory-garden-server,com.memorygarden.model.entity,StudyPackItem,278,106,70,0,0,9,38,18,3,18
memory-garden-server,com.memorygarden.service.impl,KnowledgeCardServiceImpl,12,342,9,47,3,81,9,25,0,6
memory-garden-server,com.memorygarden.service.impl,StudyPackServiceImpl,0,133,1,7,0,35,1,8,0,5
memory-garden-server,com.memorygarden.service.impl,PlantServiceImpl,45,303,21,28,6,67,18,21,1,13
memory-garden-server,com.memorygarden.service.impl,BadgeServiceImpl,12,270,10,27,2,62,10,20,0,9
memory-garden-server,com.memorygarden.service.impl,ReviewServiceImpl,10,520,8,54,2,103,8,38,0,15
memory-garden-server,com.memorygarden.service.impl,CategoryServiceImpl,1,148,2,22,0,33,2,15,0,5
memory-garden-server,com.memorygarden.service.impl,UserServiceImpl,0,201,0,26,0,43,0,20,0,7
memory-garden-server,com.memorygarden.service.impl,StatsServiceImpl,6,158,5,7,0,33,5,9,0,8
memory-garden-server,com.memorygarden.model.dto,UserRegisterRequest,123,46,30,0,0,4,18,8,3,8
memory-garden-server,com.memorygarden.model.dto,UserLoginRequest,92,34,22,0,0,3,14,6,3,6
memory-garden-server,com.memorygarden.model.dto,ReviewSubmitRequest,92,34,22,0,0,3,14,6,3,6
memory-garden-server,com.memorygarden.model.dto,StudyPackImportRequest,83,0,14,0,2,0,14,0,7,0
memory-garden-server,com.memorygarden.model.dto,CardUpdateRequest,162,50,38,0,0,5,24,8,5,8
memory-garden-server,com.memorygarden.model.dto,CardCreateRequest,154,58,38,0,0,5,22,10,3,10
memory-garden-server,com.memorygarden.model.dto,CategoryCreateRequest,123,46,30,0,0,4,18,8,3,8
memory-garden-server,com.memorygarden.model.vo,StatsVO,251,90,62,0,0,8,35,15,4,15
memory-garden-server,com.memorygarden.model.vo,GardenVO,154,58,38,0,0,5,22,10,3,10
memory-garden-server,com.memorygarden.model.vo,BadgeVO,278,106,70,0,0,9,38,18,3,18
memory-garden-server,com.memorygarden.model.vo,ReviewVO,278,106,70,0,0,9,38,18,3,18
memory-garden-server,com.memorygarden.model.vo,UserVO,247,94,62,0,0,8,34,16,3,16
memory-garden-server,com.memorygarden.model.vo,PlantVO,344,126,86,0,0,11,47,21,4,21
memory-garden-server,com.memorygarden.model.vo,CardVO,309,118,78,0,0,10,42,20,3,20
memory-garden-server,com.memorygarden.model.vo,ReviewSummaryVO,247,94,62,0,0,8,34,16,3,16
memory-garden-server,com.memorygarden.interceptor,AuthInterceptor,0,81,0,12,0,22,0,10,0,4
memory-garden-server,com.memorygarden.common.exception,GlobalExceptionHandler,0,52,0,0,0,11,0,6,0,6
memory-garden-server,com.memorygarden.common.exception,BusinessException,0,27,0,0,0,10,0,4,0,4
memory-garden-server,com.memorygarden,MemoryGardenApplication,5,3,0,0,2,1,1,1,1,1
memory-garden-server,com.memorygarden.task,WitherCheckTask,83,7,8,0,22,2,5,2,1,2
memory-garden-server,com.memorygarden.common.result,ResultCode,0,84,0,0,0,12,0,4,0,4
memory-garden-server,com.memorygarden.common.result,BaseResponse,106,82,24,0,0,15,15,12,3,12
